,box date,month,wkday,game type,game count,list of games
,2022-06-22,Jun,Wed,Regular Season,15,SFN-ATL ... LAN-CIN ... COL-MIA ... SLN-MIL ... CHN-PIT ... ARI-SDN ... KCA-ANA ... WAS-BAL ... DET-BOS ... TOR-CHA ... NYN-HOU ... CLE-MIN ... SEA-OAK ... NYA-TBA ... PHI-TEX
,2022-06-23,Jun,Thu,Regular Season,10,SFN-ATL ... LAN-CIN ... COL-MIA ... SLN-MIL ... CHN-PIT ... PHI-SDN ... BAL-CHA ... CLE-MIN ... HOU-NYA ... SEA-OAK
,2022-06-24,Jun,Fri,Regular Season,15,DET-ARI ... LAN-ATL ... NYN-MIA ... TOR-MIL ... PHI-SDN ... CIN-SFN ... CHN-SLN ... SEA-ANA ... BAL-CHA ... BOS-CLE ... OAK-KCA ... COL-MIN ... HOU-NYA ... PIT-TBA ... WAS-TEX
,2022-06-25,Jun,Sat,Regular Season,15,DET-ARI ... LAN-ATL ... NYN-MIA ... TOR-MIL ... PHI-SDN ... CIN-SFN ... CHN-SLN ... SEA-ANA ... BAL-CHA ... BOS-CLE ... OAK-KCA ... COL-MIN ... HOU-NYA ... PIT-TBA ... WAS-TEX
,2022-06-26,Jun,Sun,Regular Season,15,DET-ARI ... LAN-ATL ... NYN-MIA ... TOR-MIL ... PHI-SDN ... CIN-SFN ... CHN-SLN ... SEA-ANA ... BAL-CHA ... BOS-CLE ... OAK-KCA ... COL-MIN ... HOU-NYA ... PIT-TBA ... WAS-TEX
,2022-06-27,Jun,Mon,Regular Season,9,LAN-COL ... MIA-SLN ... PIT-WAS ... CHA-ANA ... MIN-CLE ... TEX-KCA ... OAK-NYA ... BAL-SEA ... BOS-TOR
,2022-06-28,Jun,Tue,Regular Season,16,SDN-ARI ... CIN-CHN ... LAN-COL ... HOU-NYN ... ATL-PHI ... DET-SFN ... MIA-SLN ... PIT-WAS ... CHA-ANA ... MIN-CLE ... MIN-CLE ... TEX-KCA ... OAK-NYA ... BAL-SEA ... MIL-TBA ... BOS-TOR
,2022-06-29,Jun,Wed,Regular Season,15,SDN-ARI ... CIN-CHN ... LAN-COL ... HOU-NYN ... ATL-PHI ... DET-SFN ... MIA-SLN ... PIT-WAS ... CHA-ANA ... MIN-CLE ... TEX-KCA ... OAK-NYA ... BAL-SEA ... MIL-TBA ... BOS-TOR
,2022-06-30,Jun,Thu,Regular Season,8,CIN-CHN ... SDN-LAN ... ATL-PHI ... MIL-PIT ... MIN-CLE ... NYA-HOU ... OAK-SEA ... TBA-TOR
,2022-07-01,Jul,Fri,Regular Season,14,BOS-CHN ... ATL-CIN ... ARI-COL ... SDN-LAN ... TEX-NYN ... SLN-PHI ... MIL-PIT ... CHA-SFN ... MIA-WAS ... KCA-DET ... ANA-HOU ... BAL-MIN ... OAK-SEA ... TBA-TOR
,2022-07-02,Jul,Sat,Regular Season,17,BOS-CHN ... ATL-CIN ... ARI-COL ... SDN-LAN ... TEX-NYN ... SLN-PHI ... MIL-PIT ... CHA-SFN ... MIA-WAS ... NYA-CLE ... NYA-CLE ... KCA-DET ... ANA-HOU ... BAL-MIN ... OAK-SEA ... TBA-TOR ... TBA-TOR
,2022-07-03,Jul,Sun,Regular Season,15,BOS-CHN ... ATL-CIN ... ARI-COL ... SDN-LAN ... TEX-NYN ... SLN-PHI ... MIL-PIT ... CHA-SFN ... MIA-WAS ... NYA-CLE ... KCA-DET ... ANA-HOU ... BAL-MIN ... OAK-SEA ... TBA-TOR
,2022-07-04,Jul,Mon,Regular Season,14,SFN-ARI ... SLN-ATL ... NYN-CIN ... COL-LAN ... CHN-MIL ... SEA-SDN ... MIA-WAS ... TEX-BAL ... TBA-BOS ... MIN-CHA ... CLE-DET ... CLE-DET ... KCA-HOU ... TOR-OAK
,2022-07-05,Jul,Tue,Regular Season,15,SFN-ARI ... SLN-ATL ... NYN-CIN ... COL-LAN ... ANA-MIA ... CHN-MIL ... WAS-PHI ... NYA-PIT ... SEA-SDN ... TEX-BAL ... TBA-BOS ... MIN-CHA ... CLE-DET ... KCA-HOU ... TOR-OAK
,2022-07-06,Jul,Wed,Regular Season,14,SFN-ARI ... SLN-ATL ... NYN-CIN ... COL-LAN ... ANA-MIA ... CHN-MIL ... WAS-PHI ... NYA-PIT ... TEX-BAL ... TBA-BOS ... MIN-CHA ... CLE-DET ... KCA-HOU ... TOR-OAK
,2022-07-07,Jul,Thu,Regular Season,13,COL-ARI ... SLN-ATL ... PIT-CIN ... PIT-CIN ... CHN-LAN ... MIA-NYN ... WAS-PHI ... SFN-SDN ... ANA-BAL ... NYA-BOS ... DET-CHA ... KCA-HOU ... TOR-SEA
,2022-07-08,Jul,Fri,Regular Season,15,COL-ARI ... WAS-ATL ... TBA-CIN ... CHN-LAN ... PIT-MIL ... MIA-NYN ... SFN-SDN ... PHI-SLN ... ANA-BAL ... NYA-BOS ... DET-CHA ... CLE-KCA ... HOU-OAK ... TOR-SEA ... MIN-TEX
,2022-07-09,Jul,Sat,Regular Season,15,COL-ARI ... WAS-ATL ... TBA-CIN ... CHN-LAN ... PIT-MIL ... MIA-NYN ... SFN-SDN ... PHI-SLN ... ANA-BAL ... NYA-BOS ... DET-CHA ... CLE-KCA ... HOU-OAK ... TOR-SEA ... MIN-TEX
,2022-07-10,Jul,Sun,Regular Season,15,COL-ARI ... WAS-ATL ... TBA-CIN ... CHN-LAN ... PIT-MIL ... MIA-NYN ... SFN-SDN ... PHI-SLN ... ANA-BAL ... NYA-BOS ... DET-CHA ... CLE-KCA ... HOU-OAK ... TOR-SEA ... MIN-TEX
,2022-07-11,Jul,Mon,Regular Season,10,NYN-ATL ... SDN-COL ... PIT-MIA ... ARI-SFN ... PHI-SLN ... CHA-CLE ... DET-KCA ... DET-KCA ... BOS-TBA ... OAK-TEX
,2022-07-12,Jul,Tue,Regular Season,15,NYN-ATL ... BAL-CHN ... SDN-COL ... PIT-MIA ... ARI-SFN ... LAN-SLN ... HOU-ANA ... CHA-CLE ... CHA-CLE ... DET-KCA ... MIL-MIN ... CIN-NYA ... BOS-TBA ... OAK-TEX ... PHI-TOR
