,box date,month,wkday,game type,game count,list of games
,2019-05-10,May,Fri,Regular Season,15,ATL-ARI ... MIL-CHN ... SDN-COL ... WAS-LAN ... MIA-NYN ... CIN-SFN ... PIT-SLN ... ANA-BAL ... SEA-BOS ... TEX-HOU ... PHI-KCA ... DET-MIN ... CLE-OAK ... NYA-TBA ... CHA-TOR
,2019-05-11,May,Sat,Regular Season,16,ATL-ARI ... MIL-CHN ... SDN-COL ... WAS-LAN ... MIA-NYN ... CIN-SFN ... PIT-SLN ... ANA-BAL ... SEA-BOS ... TEX-HOU ... PHI-KCA ... DET-MIN ... DET-MIN ... CLE-OAK ... NYA-TBA ... CHA-TOR
,2019-05-12,May,Sun,Regular Season,14,ATL-ARI ... MIL-CHN ... SDN-COL ... WAS-LAN ... CIN-SFN ... PIT-SLN ... ANA-BAL ... SEA-BOS ... TEX-HOU ... PHI-KCA ... DET-MIN ... CLE-OAK ... NYA-TBA ... CHA-TOR
,2019-05-13,May,Mon,Regular Season,6,PIT-ARI ... MIL-PHI ... CLE-CHA ... HOU-DET ... ANA-MIN ... OAK-SEA
,2019-05-14,May,Tue,Regular Season,14,PIT-ARI ... SLN-ATL ... CHN-CIN ... SDN-LAN ... TBA-MIA ... MIL-PHI ... TOR-SFN ... NYN-WAS ... COL-BOS ... CLE-CHA ... HOU-DET ... TEX-KCA ... ANA-MIN ... OAK-SEA
,2019-05-15,May,Wed,Regular Season,14,PIT-ARI ... SLN-ATL ... CHN-CIN ... SDN-LAN ... TBA-MIA ... MIL-PHI ... TOR-SFN ... NYN-WAS ... COL-BOS ... HOU-DET ... TEX-KCA ... ANA-MIN ... BAL-NYA ... BAL-NYA
,2019-05-16,May,Thu,Regular Season,10,SLN-ATL ... CHN-CIN ... MIL-PHI ... PIT-SDN ... NYN-WAS ... TOR-CHA ... BAL-CLE ... OAK-DET ... TEX-KCA ... MIN-SEA
,2019-05-17,May,Fri,Regular Season,15,SFN-ARI ... MIL-ATL ... LAN-CIN ... NYN-MIA ... COL-PHI ... PIT-SDN ... CHN-WAS ... KCA-ANA ... HOU-BOS ... TOR-CHA ... BAL-CLE ... OAK-DET ... TBA-NYA ... MIN-SEA ... SLN-TEX
,2019-05-18,May,Sat,Regular Season,15,SFN-ARI ... MIL-ATL ... LAN-CIN ... NYN-MIA ... COL-PHI ... PIT-SDN ... CHN-WAS ... KCA-ANA ... HOU-BOS ... TOR-CHA ... BAL-CLE ... OAK-DET ... TBA-NYA ... MIN-SEA ... SLN-TEX
,2019-05-19,May,Sun,Regular Season,15,SFN-ARI ... MIL-ATL ... LAN-CIN ... NYN-MIA ... COL-PHI ... PIT-SDN ... CHN-WAS ... KCA-ANA ... HOU-BOS ... TOR-CHA ... BAL-CLE ... OAK-DET ... TBA-NYA ... MIN-SEA ... SLN-TEX
,2019-05-20,May,Mon,Regular Season,10,PHI-CHN ... WAS-NYN ... ARI-SDN ... ATL-SFN ... MIN-ANA ... NYA-BAL ... OAK-CLE ... CHA-HOU ... SEA-TEX ... BOS-TOR
,2019-05-21,May,Tue,Regular Season,14,PHI-CHN ... CIN-MIL ... WAS-NYN ... COL-PIT ... ARI-SDN ... ATL-SFN ... MIN-ANA ... NYA-BAL ... OAK-CLE ... MIA-DET ... CHA-HOU ... LAN-TBA ... SEA-TEX ... BOS-TOR
,2019-05-22,May,Wed,Regular Season,15,PHI-CHN ... CIN-MIL ... WAS-NYN ... COL-PIT ... ARI-SDN ... ATL-SFN ... KCA-SLN ... KCA-SLN ... NYA-BAL ... OAK-CLE ... MIA-DET ... CHA-HOU ... LAN-TBA ... SEA-TEX ... BOS-TOR
,2019-05-23,May,Thu,Regular Season,10,PHI-CHN ... WAS-NYN ... COL-PIT ... ATL-SFN ... MIN-ANA ... NYA-BAL ... TBA-CLE ... MIA-DET ... CHA-HOU ... BOS-TOR
,2019-05-24,May,Fri,Regular Season,14,CIN-CHN ... BAL-COL ... PHI-MIL ... DET-NYN ... LAN-PIT ... ARI-SFN ... ATL-SLN ... MIA-WAS ... TEX-ANA ... TBA-CLE ... BOS-HOU ... CHA-MIN ... SEA-OAK ... SDN-TOR
,2019-05-25,May,Sat,Regular Season,16,CIN-CHN ... BAL-COL ... PHI-MIL ... DET-NYN ... LAN-PIT ... ARI-SFN ... ATL-SLN ... MIA-WAS ... TEX-ANA ... TBA-CLE ... BOS-HOU ... NYA-KCA ... NYA-KCA ... CHA-MIN ... SEA-OAK ... SDN-TOR
,2019-05-26,May,Sun,Regular Season,15,CIN-CHN ... BAL-COL ... PHI-MIL ... DET-NYN ... LAN-PIT ... ARI-SFN ... ATL-SLN ... MIA-WAS ... TEX-ANA ... TBA-CLE ... BOS-HOU ... NYA-KCA ... CHA-MIN ... SEA-OAK ... SDN-TOR
,2019-05-27,May,Mon,Regular Season,14,PIT-CIN ... PIT-CIN ... ARI-COL ... NYN-LAN ... MIA-WAS ... DET-BAL ... CLE-BOS ... KCA-CHA ... CHN-HOU ... MIL-MIN ... SDN-NYA ... ANA-OAK ... TEX-SEA ... TOR-TBA
,2019-05-28,May,Tue,Regular Season,15,WAS-ATL ... PIT-CIN ... ARI-COL ... NYN-LAN ... SFN-MIA ... SLN-PHI ... DET-BAL ... CLE-BOS ... KCA-CHA ... CHN-HOU ... MIL-MIN ... SDN-NYA ... ANA-OAK ... TEX-SEA ... TOR-TBA
